#TYPE System.TimeSpan
"Ticks";"Days";"Hours";"Milliseconds";"Minutes";"Seconds";"TotalDays";"TotalHours";"TotalMilliseconds";"TotalMinutes";"TotalSeconds"
"48635521";"0";"0";"863";"0";"4";"5,62911122685185E-05";"0,00135098669444444";"4863,5521";"0,0810592016666667";"4,8635521"
"43552508";"0";"0";"355";"0";"4";"5,04079953703704E-05";"0,00120979188888889";"4355,2508";"0,0725875133333333";"4,3552508"
"43048865";"0";"0";"304";"0";"4";"4,98250752314815E-05";"0,00119580180555556";"4304,8865";"0,0717481083333333";"4,3048865"
"43681582";"0";"0";"368";"0";"4";"5,05573865740741E-05";"0,00121337727777778";"4368,1582";"0,0728026366666667";"4,3681582"
"43174362";"0";"0";"317";"0";"4";"4,99703263888889E-05";"0,00119928783333333";"4317,4362";"0,07195727";"4,3174362"
"43807876";"0";"0";"380";"0";"4";"5,07035601851852E-05";"0,00121688544444444";"4380,7876";"0,0730131266666667";"4,3807876"
"42432036";"0";"0";"243";"0";"4";"4,91111527777778E-05";"0,00117866766666667";"4243,2036";"0,07072006";"4,2432036"
"42600073";"0";"0";"260";"0";"4";"4,93056400462963E-05";"0,00118333536111111";"4260,0073";"0,0710001216666667";"4,2600073"
"43228807";"0";"0";"322";"0";"4";"5,00333414351852E-05";"0,00120080019444444";"4322,8807";"0,0720480116666667";"4,3228807"
"42870263";"0";"0";"287";"0";"4";"4,96183599537037E-05";"0,00119084063888889";"4287,0263";"0,0714504383333333";"4,2870263"
"43273141";"0";"0";"327";"0";"4";"5,00846539351852E-05";"0,00120203169444444";"4327,3141";"0,0721219016666667";"4,3273141"
"42840521";"0";"0";"284";"0";"4";"4,95839363425926E-05";"0,00119001447222222";"4284,0521";"0,0714008683333333";"4,2840521"
"42893364";"0";"0";"289";"0";"4";"4,96450972222222E-05";"0,00119148233333333";"4289,3364";"0,07148894";"4,2893364"
"44711403";"0";"0";"471";"0";"4";"5,17493090277778E-05";"0,00124198341666667";"4471,1403";"0,074519005";"4,4711403"
"42552539";"0";"0";"255";"0";"4";"4,92506238425926E-05";"0,00118201497222222";"4255,2539";"0,0709208983333333";"4,2552539"
"42584737";"0";"0";"258";"0";"4";"4,92878900462963E-05";"0,00118290936111111";"4258,4737";"0,0709745616666667";"4,2584737"
"42730879";"0";"0";"273";"0";"4";"4,94570358796296E-05";"0,00118696886111111";"4273,0879";"0,0712181316666667";"4,2730879"
"43992157";"0";"0";"399";"0";"4";"5,09168483796296E-05";"0,00122200436111111";"4399,2157";"0,0733202616666667";"4,3992157"
"46424974";"0";"0";"642";"0";"4";"5,37326087962963E-05";"0,00128958261111111";"4642,4974";"0,0773749566666667";"4,6424974"
"42641729";"0";"0";"264";"0";"4";"4,93538530092593E-05";"0,00118449247222222";"4264,1729";"0,0710695483333333";"4,2641729"
"44152617";"0";"0";"415";"0";"4";"5,11025659722222E-05";"0,00122646158333333";"4415,2617";"0,073587695";"4,4152617"
"42816278";"0";"0";"281";"0";"4";"4,95558773148148E-05";"0,00118934105555556";"4281,6278";"0,0713604633333333";"4,2816278"
"42850613";"0";"0";"285";"0";"4";"4,95956168981481E-05";"0,00119029480555556";"4285,0613";"0,0714176883333333";"4,2850613"
"42163330";"0";"0";"216";"0";"4";"4,8800150462963E-05";"0,00117120361111111";"4216,333";"0,0702722166666667";"4,216333"
"42206357";"0";"0";"220";"0";"4";"4,88499502314815E-05";"0,00117239880555556";"4220,6357";"0,0703439283333333";"4,2206357"
"44417047";"0";"0";"441";"0";"4";"5,1408619212963E-05";"0,00123380686111111";"4441,7047";"0,0740284116666667";"4,4417047"
"42575814";"0";"0";"257";"0";"4";"4,92775625E-05";"0,0011826615";"4257,5814";"0,07095969";"4,2575814"
"44095227";"0";"0";"409";"0";"4";"5,10361423611111E-05";"0,00122486741666667";"4409,5227";"0,073492045";"4,4095227"
"42471257";"0";"0";"247";"0";"4";"4,91565474537037E-05";"0,00117975713888889";"4247,1257";"0,0707854283333333";"4,2471257"
"42517277";"0";"0";"251";"0";"4";"4,92098113425926E-05";"0,00118103547222222";"4251,7277";"0,0708621283333333";"4,2517277"
"42251783";"0";"0";"225";"0";"4";"4,89025266203704E-05";"0,00117366063888889";"4225,1783";"0,0704196383333333";"4,2251783"
"42137833";"0";"0";"213";"0";"4";"4,87706400462963E-05";"0,00117049536111111";"4213,7833";"0,0702297216666667";"4,2137833"
"42347750";"0";"0";"234";"0";"4";"4,9013599537037E-05";"0,00117632638888889";"4234,775";"0,0705795833333333";"4,234775"
"42059285";"0";"0";"205";"0";"4";"4,86797280092593E-05";"0,00116831347222222";"4205,9285";"0,0700988083333333";"4,2059285"
"44062139";"0";"0";"406";"0";"4";"5,09978460648148E-05";"0,00122394830555556";"4406,2139";"0,0734368983333333";"4,4062139"
"41947301";"0";"0";"194";"0";"4";"4,85501168981481E-05";"0,00116520280555556";"4194,7301";"0,0699121683333333";"4,1947301"
