#TYPE System.TimeSpan
"Ticks";"Days";"Hours";"Milliseconds";"Minutes";"Seconds";"TotalDays";"TotalHours";"TotalMilliseconds";"TotalMinutes";"TotalSeconds"
"8829834";"0";"0";"882";"0";"0";"1,02197152777778E-05";"0,000245273166666667";"882,9834";"0,01471639";"0,8829834"
"8501502";"0";"0";"850";"0";"0";"9,83970138888889E-06";"0,000236152833333333";"850,1502";"0,01416917";"0,8501502"
"8587225";"0";"0";"858";"0";"0";"9,93891782407407E-06";"0,000238534027777778";"858,7225";"0,0143120416666667";"0,8587225"
"8428568";"0";"0";"842";"0";"0";"9,75528703703704E-06";"0,000234126888888889";"842,8568";"0,0140476133333333";"0,8428568"
"8444410";"0";"0";"844";"0";"0";"9,77362268518518E-06";"0,000234566944444444";"844,441";"0,0140740166666667";"0,844441"
"8466678";"0";"0";"846";"0";"0";"9,79939583333333E-06";"0,0002351855";"846,6678";"0,01411113";"0,8466678"
"8500839";"0";"0";"850";"0";"0";"9,83893402777778E-06";"0,000236134416666667";"850,0839";"0,014168065";"0,8500839"
"8495136";"0";"0";"849";"0";"0";"9,83233333333333E-06";"0,000235976";"849,5136";"0,01415856";"0,8495136"
"8517988";"0";"0";"851";"0";"0";"9,85878240740741E-06";"0,000236610777777778";"851,7988";"0,0141966466666667";"0,8517988"
"8602324";"0";"0";"860";"0";"0";"9,95639351851852E-06";"0,000238953444444444";"860,2324";"0,0143372066666667";"0,8602324"
"8594263";"0";"0";"859";"0";"0";"9,94706365740741E-06";"0,000238729527777778";"859,4263";"0,0143237716666667";"0,8594263"
"8656619";"0";"0";"865";"0";"0";"1,00192349537037E-05";"0,000240461638888889";"865,6619";"0,0144276983333333";"0,8656619"
"8781383";"0";"0";"878";"0";"0";"1,01636377314815E-05";"0,000243927305555556";"878,1383";"0,0146356383333333";"0,8781383"
"8526445";"0";"0";"852";"0";"0";"9,86857060185185E-06";"0,000236845694444444";"852,6445";"0,0142107416666667";"0,8526445"
"8769005";"0";"0";"876";"0";"0";"1,01493113425926E-05";"0,000243583472222222";"876,9005";"0,0146150083333333";"0,8769005"
"8963692";"0";"0";"896";"0";"0";"1,03746435185185E-05";"0,000248991444444444";"896,3692";"0,0149394866666667";"0,8963692"
"9032552";"0";"0";"903";"0";"0";"1,04543425925926E-05";"0,000250904222222222";"903,2552";"0,0150542533333333";"0,9032552"
"8563457";"0";"0";"856";"0";"0";"9,91140856481482E-06";"0,000237873805555556";"856,3457";"0,0142724283333333";"0,8563457"
