#TYPE System.TimeSpan
"Ticks";"Days";"Hours";"Milliseconds";"Minutes";"Seconds";"TotalDays";"TotalHours";"TotalMilliseconds";"TotalMinutes";"TotalSeconds"
"41840853";"0";"0";"184";"0";"4";"4,84269131944444E-05";"0,00116224591666667";"4184,0853";"0,069734755";"4,1840853"
"41573363";"0";"0";"157";"0";"4";"4,8117318287037E-05";"0,00115481563888889";"4157,3363";"0,0692889383333333";"4,1573363"
"41888683";"0";"0";"188";"0";"4";"4,84822719907407E-05";"0,00116357452777778";"4188,8683";"0,0698144716666667";"4,1888683"
"41356212";"0";"0";"135";"0";"4";"4,78659861111111E-05";"0,00114878366666667";"4135,6212";"0,06892702";"4,1356212"
"41282528";"0";"0";"128";"0";"4";"4,77807037037037E-05";"0,00114673688888889";"4128,2528";"0,0688042133333333";"4,1282528"
"41843963";"0";"0";"184";"0";"4";"4,84305127314815E-05";"0,00116233230555556";"4184,3963";"0,0697399383333333";"4,1843963"
"41647930";"0";"0";"164";"0";"4";"4,82036226851852E-05";"0,00115688694444444";"4164,793";"0,0694132166666667";"4,164793"
"41644378";"0";"0";"164";"0";"4";"4,81995115740741E-05";"0,00115678827777778";"4164,4378";"0,0694072966666667";"4,1644378"
"41638475";"0";"0";"163";"0";"4";"4,81926793981481E-05";"0,00115662430555556";"4163,8475";"0,0693974583333333";"4,1638475"
"41758471";"0";"0";"175";"0";"4";"4,83315636574074E-05";"0,00115995752777778";"4175,8471";"0,0695974516666667";"4,1758471"
"41581231";"0";"0";"158";"0";"4";"4,81264247685185E-05";"0,00115503419444444";"4158,1231";"0,0693020516666667";"4,1581231"
"41797290";"0";"0";"179";"0";"4";"4,83764930555556E-05";"0,00116103583333333";"4179,729";"0,06966215";"4,179729"
"41589501";"0";"0";"158";"0";"4";"4,81359965277778E-05";"0,00115526391666667";"4158,9501";"0,069315835";"4,1589501"
"41705460";"0";"0";"170";"0";"4";"4,82702083333333E-05";"0,001158485";"4170,546";"0,0695091";"4,170546"
"41665495";"0";"0";"166";"0";"4";"4,82239525462963E-05";"0,00115737486111111";"4166,5495";"0,0694424916666667";"4,1665495"
"41577558";"0";"0";"157";"0";"4";"4,81221736111111E-05";"0,00115493216666667";"4157,7558";"0,06929593";"4,1577558"
"41491428";"0";"0";"149";"0";"4";"4,80224861111111E-05";"0,00115253966666667";"4149,1428";"0,06915238";"4,1491428"
"41752353";"0";"0";"175";"0";"4";"4,83244826388889E-05";"0,00115978758333333";"4175,2353";"0,069587255";"4,1752353"
"41844455";"0";"0";"184";"0";"4";"4,84310821759259E-05";"0,00116234597222222";"4184,4455";"0,0697407583333333";"4,1844455"
"41465795";"0";"0";"146";"0";"4";"4,7992818287037E-05";"0,00115182763888889";"4146,5795";"0,0691096583333333";"4,1465795"
"41533513";"0";"0";"153";"0";"4";"4,80711956018518E-05";"0,00115370869444444";"4153,3513";"0,0692225216666667";"4,1533513"
"41749675";"0";"0";"174";"0";"4";"4,83213831018519E-05";"0,00115971319444444";"4174,9675";"0,0695827916666667";"4,1749675"
"41649155";"0";"0";"164";"0";"4";"4,82050405092593E-05";"0,00115692097222222";"4164,9155";"0,0694152583333333";"4,1649155"
"41611467";"0";"0";"161";"0";"4";"4,81614201388889E-05";"0,00115587408333333";"4161,1467";"0,069352445";"4,1611467"
"41617473";"0";"0";"161";"0";"4";"4,81683715277778E-05";"0,00115604091666667";"4161,7473";"0,069362455";"4,1617473"
"41866446";"0";"0";"186";"0";"4";"4,84565347222222E-05";"0,00116295683333333";"4186,6446";"0,06977741";"4,1866446"
"41651276";"0";"0";"165";"0";"4";"4,82074953703704E-05";"0,00115697988888889";"4165,1276";"0,0694187933333333";"4,1651276"
"41622219";"0";"0";"162";"0";"4";"4,81738645833333E-05";"0,00115617275";"4162,2219";"0,069370365";"4,1622219"
"41914431";"0";"0";"191";"0";"4";"4,85120729166667E-05";"0,00116428975";"4191,4431";"0,069857385";"4,1914431"
"41708629";"0";"0";"170";"0";"4";"4,82738761574074E-05";"0,00115857302777778";"4170,8629";"0,0695143816666667";"4,1708629"
"41641187";"0";"0";"164";"0";"4";"4,8195818287037E-05";"0,00115669963888889";"4164,1187";"0,0694019783333333";"4,1641187"
"41701183";"0";"0";"170";"0";"4";"4,82652581018518E-05";"0,00115836619444444";"4170,1183";"0,0695019716666667";"4,1701183"
"41537659";"0";"0";"153";"0";"4";"4,8075994212963E-05";"0,00115382386111111";"4153,7659";"0,0692294316666667";"4,1537659"
"41581629";"0";"0";"158";"0";"4";"4,81268854166667E-05";"0,00115504525";"4158,1629";"0,069302715";"4,1581629"
"41702368";"0";"0";"170";"0";"4";"4,82666296296296E-05";"0,00115839911111111";"4170,2368";"0,0695039466666667";"4,1702368"
"41894775";"0";"0";"189";"0";"4";"4,84893229166667E-05";"0,00116374375";"4189,4775";"0,069824625";"4,1894775"
