#TYPE System.TimeSpan
"Ticks";"Days";"Hours";"Milliseconds";"Minutes";"Seconds";"TotalDays";"TotalHours";"TotalMilliseconds";"TotalMinutes";"TotalSeconds"
"6174725";"0";"0";"617";"0";"0";"7,1466724537037E-06";"0,000171520138888889";"617,4725";"0,0102912083333333";"0,6174725"
"4984815";"0";"0";"498";"0";"0";"5,76946180555556E-06";"0,000138467083333333";"498,4815";"0,008308025";"0,4984815"
"4917591";"0";"0";"491";"0";"0";"5,69165625E-06";"0,00013659975";"491,7591";"0,008195985";"0,4917591"
"4870964";"0";"0";"487";"0";"0";"5,63768981481481E-06";"0,000135304555555556";"487,0964";"0,00811827333333333";"0,4870964"
"4912356";"0";"0";"491";"0";"0";"5,68559722222222E-06";"0,000136454333333333";"491,2356";"0,00818726";"0,4912356"
"4830646";"0";"0";"483";"0";"0";"5,59102546296296E-06";"0,000134184611111111";"483,0646";"0,00805107666666667";"0,4830646"
"4895546";"0";"0";"489";"0";"0";"5,6661412037037E-06";"0,000135987388888889";"489,5546";"0,00815924333333333";"0,4895546"
"4848995";"0";"0";"484";"0";"0";"5,61226273148148E-06";"0,000134694305555556";"484,8995";"0,00808165833333333";"0,4848995"
"4821508";"0";"0";"482";"0";"0";"5,58044907407407E-06";"0,000133930777777778";"482,1508";"0,00803584666666667";"0,4821508"
"4845900";"0";"0";"484";"0";"0";"5,60868055555556E-06";"0,000134608333333333";"484,59";"0,0080765";"0,48459"
"4883209";"0";"0";"488";"0";"0";"5,65186226851852E-06";"0,000135644694444444";"488,3209";"0,00813868166666667";"0,4883209"
"4844781";"0";"0";"484";"0";"0";"5,60738541666667E-06";"0,00013457725";"484,4781";"0,008074635";"0,4844781"
"4841487";"0";"0";"484";"0";"0";"5,60357291666667E-06";"0,00013448575";"484,1487";"0,008069145";"0,4841487"
"4772553";"0";"0";"477";"0";"0";"5,52378819444444E-06";"0,000132570916666667";"477,2553";"0,007954255";"0,4772553"
"4805681";"0";"0";"480";"0";"0";"5,56213078703704E-06";"0,000133491138888889";"480,5681";"0,00800946833333333";"0,4805681"
"4794015";"0";"0";"479";"0";"0";"5,54862847222222E-06";"0,000133167083333333";"479,4015";"0,007990025";"0,4794015"
"4966248";"0";"0";"496";"0";"0";"5,74797222222222E-06";"0,000137951333333333";"496,6248";"0,00827708";"0,4966248"
"4854242";"0";"0";"485";"0";"0";"5,61833564814815E-06";"0,000134840055555556";"485,4242";"0,00809040333333333";"0,4854242"
"4887460";"0";"0";"488";"0";"0";"5,65678240740741E-06";"0,000135762777777778";"488,746";"0,00814576666666667";"0,488746"
"4844504";"0";"0";"484";"0";"0";"5,60706481481481E-06";"0,000134569555555556";"484,4504";"0,00807417333333333";"0,4844504"
"4897024";"0";"0";"489";"0";"0";"5,66785185185185E-06";"0,000136028444444444";"489,7024";"0,00816170666666667";"0,4897024"
"4845126";"0";"0";"484";"0";"0";"5,60778472222222E-06";"0,000134586833333333";"484,5126";"0,00807521";"0,4845126"
"4863314";"0";"0";"486";"0";"0";"5,62883564814815E-06";"0,000135092055555556";"486,3314";"0,00810552333333333";"0,4863314"
"4862346";"0";"0";"486";"0";"0";"5,62771527777778E-06";"0,000135065166666667";"486,2346";"0,00810391";"0,4862346"
"4882456";"0";"0";"488";"0";"0";"5,65099074074074E-06";"0,000135623777777778";"488,2456";"0,00813742666666667";"0,4882456"
"5205023";"0";"0";"520";"0";"0";"6,02433217592593E-06";"0,000144583972222222";"520,5023";"0,00867503833333333";"0,5205023"
"4969861";"0";"0";"496";"0";"0";"5,75215393518519E-06";"0,000138051694444444";"496,9861";"0,00828310166666667";"0,4969861"
"5687207";"0";"0";"568";"0";"0";"6,58241550925926E-06";"0,000157977972222222";"568,7207";"0,00947867833333333";"0,5687207"
"5145362";"0";"0";"514";"0";"0";"5,95528009259259E-06";"0,000142926722222222";"514,5362";"0,00857560333333333";"0,5145362"
