#TYPE System.TimeSpan
"Ticks";"Days";"Hours";"Milliseconds";"Minutes";"Seconds";"TotalDays";"TotalHours";"TotalMilliseconds";"TotalMinutes";"TotalSeconds"
"43600774";"0";"0";"360";"0";"4";"5,04638587962963E-05";"0,00121113261111111";"4360,0774";"0,0726679566666667";"4,3600774"
"43306841";"0";"0";"330";"0";"4";"5,01236585648148E-05";"0,00120296780555556";"4330,6841";"0,0721780683333333";"4,3306841"
"43237664";"0";"0";"323";"0";"4";"5,00435925925926E-05";"0,00120104622222222";"4323,7664";"0,0720627733333333";"4,3237664"
"42413730";"0";"0";"241";"0";"4";"4,90899652777778E-05";"0,00117815916666667";"4241,373";"0,07068955";"4,241373"
"43394113";"0";"0";"339";"0";"4";"5,02246678240741E-05";"0,00120539202777778";"4339,4113";"0,0723235216666667";"4,3394113"
"42575702";"0";"0";"257";"0";"4";"4,92774328703704E-05";"0,00118265838888889";"4257,5702";"0,0709595033333333";"4,2575702"
"42851814";"0";"0";"285";"0";"4";"4,95970069444444E-05";"0,00119032816666667";"4285,1814";"0,07141969";"4,2851814"
"42121897";"0";"0";"212";"0";"4";"4,87521956018519E-05";"0,00117005269444444";"4212,1897";"0,0702031616666667";"4,2121897"
"43293913";"0";"0";"329";"0";"4";"5,01086956018519E-05";"0,00120260869444444";"4329,3913";"0,0721565216666667";"4,3293913"
"42144563";"0";"0";"214";"0";"4";"4,87784293981481E-05";"0,00117068230555556";"4214,4563";"0,0702409383333333";"4,2144563"
"43026842";"0";"0";"302";"0";"4";"4,97995856481481E-05";"0,00119519005555556";"4302,6842";"0,0717114033333333";"4,3026842"
"42609726";"0";"0";"260";"0";"4";"4,93168125E-05";"0,0011836035";"4260,9726";"0,07101621";"4,2609726"
"43206738";"0";"0";"320";"0";"4";"5,00077986111111E-05";"0,00120018716666667";"4320,6738";"0,07201123";"4,3206738"
"42301992";"0";"0";"230";"0";"4";"4,89606388888889E-05";"0,00117505533333333";"4230,1992";"0,07050332";"4,2301992"
"43308937";"0";"0";"330";"0";"4";"5,01260844907407E-05";"0,00120302602777778";"4330,8937";"0,0721815616666667";"4,3308937"
"42015147";"0";"0";"201";"0";"4";"4,86286423611111E-05";"0,00116708741666667";"4201,5147";"0,070025245";"4,2015147"
"43438565";"0";"0";"343";"0";"4";"5,02761168981481E-05";"0,00120662680555556";"4343,8565";"0,0723976083333333";"4,3438565"
"43127919";"0";"0";"312";"0";"4";"4,99165729166667E-05";"0,00119799775";"4312,7919";"0,071879865";"4,3127919"
"43272512";"0";"0";"327";"0";"4";"5,00839259259259E-05";"0,00120201422222222";"4327,2512";"0,0721208533333333";"4,3272512"
"42296179";"0";"0";"229";"0";"4";"4,89539108796296E-05";"0,00117489386111111";"4229,6179";"0,0704936316666667";"4,2296179"
"43438839";"0";"0";"343";"0";"4";"5,02764340277778E-05";"0,00120663441666667";"4343,8839";"0,072398065";"4,3438839"
"43074914";"0";"0";"307";"0";"4";"4,9855224537037E-05";"0,00119652538888889";"4307,4914";"0,0717915233333333";"4,3074914"
"43634431";"0";"0";"363";"0";"4";"5,05028136574074E-05";"0,00121206752777778";"4363,4431";"0,0727240516666667";"4,3634431"
"42386163";"0";"0";"238";"0";"4";"4,90580590277778E-05";"0,00117739341666667";"4238,6163";"0,070643605";"4,2386163"
"43213160";"0";"0";"321";"0";"4";"5,00152314814815E-05";"0,00120036555555556";"4321,316";"0,0720219333333333";"4,321316"
"43307715";"0";"0";"330";"0";"4";"5,01246701388889E-05";"0,00120299208333333";"4330,7715";"0,072179525";"4,3307715"
"43271558";"0";"0";"327";"0";"4";"5,00828217592593E-05";"0,00120198772222222";"4327,1558";"0,0721192633333333";"4,3271558"
"42567358";"0";"0";"256";"0";"4";"4,9267775462963E-05";"0,00118242661111111";"4256,7358";"0,0709455966666667";"4,2567358"
"43131853";"0";"0";"313";"0";"4";"4,99211261574074E-05";"0,00119810702777778";"4313,1853";"0,0718864216666667";"4,3131853"
"43017313";"0";"0";"301";"0";"4";"4,9788556712963E-05";"0,00119492536111111";"4301,7313";"0,0716955216666667";"4,3017313"
"43085398";"0";"0";"308";"0";"4";"4,98673587962963E-05";"0,00119681661111111";"4308,5398";"0,0718089966666667";"4,3085398"
"42927762";"0";"0";"292";"0";"4";"4,96849097222222E-05";"0,00119243783333333";"4292,7762";"0,07154627";"4,2927762"
"42574928";"0";"0";"257";"0";"4";"4,9276537037037E-05";"0,00118263688888889";"4257,4928";"0,0709582133333333";"4,2574928"
"43168506";"0";"0";"316";"0";"4";"4,99635486111111E-05";"0,00119912516666667";"4316,8506";"0,07194751";"4,3168506"
