#TYPE System.TimeSpan
"Ticks";"Days";"Hours";"Milliseconds";"Minutes";"Seconds";"TotalDays";"TotalHours";"TotalMilliseconds";"TotalMinutes";"TotalSeconds"
"91936519";"0";"0";"193";"0";"9";"0,000106408008101852";"0,00255379219444444";"9193,6519";"0,153227531666667";"9,1936519"
"90679878";"0";"0";"67";"0";"9";"0,0001049535625";"0,0025188855";"9067,9878";"0,15113313";"9,0679878"
"90658459";"0";"0";"65";"0";"9";"0,000104928771990741";"0,00251829052777778";"9065,8459";"0,151097431666667";"9,0658459"
"90465931";"0";"0";"46";"0";"9";"0,000104705938657407";"0,00251294252777778";"9046,5931";"0,150776551666667";"9,0465931"
"91024069";"0";"0";"102";"0";"9";"0,000105351931712963";"0,00252844636111111";"9102,4069";"0,151706781666667";"9,1024069"
"90636795";"0";"0";"63";"0";"9";"0,000104903697916667";"0,00251768875";"9063,6795";"0,151061325";"9,0636795"
"90469081";"0";"0";"46";"0";"9";"0,000104709584490741";"0,00251303002777778";"9046,9081";"0,150781801666667";"9,0469081"
"90373378";"0";"0";"37";"0";"9";"0,00010459881712963";"0,00251037161111111";"9037,3378";"0,150622296666667";"9,0373378"
"90446555";"0";"0";"44";"0";"9";"0,000104683512731481";"0,00251240430555556";"9044,6555";"0,150744258333333";"9,0446555"
"90525725";"0";"0";"52";"0";"9";"0,000104775144675926";"0,00251460347222222";"9052,5725";"0,150876208333333";"9,0525725"
"90587320";"0";"0";"58";"0";"9";"0,000104846435185185";"0,00251631444444444";"9058,732";"0,150978866666667";"9,058732"
"90528176";"0";"0";"52";"0";"9";"0,000104777981481481";"0,00251467155555556";"9052,8176";"0,150880293333333";"9,0528176"
"90605902";"0";"0";"60";"0";"9";"0,00010486794212963";"0,00251683061111111";"9060,5902";"0,151009836666667";"9,0605902"
"90612754";"0";"0";"61";"0";"9";"0,000104875872685185";"0,00251702094444444";"9061,2754";"0,151021256666667";"9,0612754"
"90342138";"0";"0";"34";"0";"9";"0,000104562659722222";"0,00250950383333333";"9034,2138";"0,15057023";"9,0342138"
"90291176";"0";"0";"29";"0";"9";"0,000104503675925926";"0,00250808822222222";"9029,1176";"0,150485293333333";"9,0291176"
"90888315";"0";"0";"88";"0";"9";"0,000105194809027778";"0,00252467541666667";"9088,8315";"0,151480525";"9,0888315"
"91233181";"0";"0";"123";"0";"9";"0,000105593959490741";"0,00253425502777778";"9123,3181";"0,152055301666667";"9,1233181"
"90300500";"0";"0";"30";"0";"9";"0,000104514467592593";"0,00250834722222222";"9030,05";"0,150500833333333";"9,03005"
"90861540";"0";"0";"86";"0";"9";"0,000105163819444444";"0,00252393166666667";"9086,154";"0,1514359";"9,086154"
"90644847";"0";"0";"64";"0";"9";"0,000104913017361111";"0,00251791241666667";"9064,4847";"0,151074745";"9,0644847"
"91446637";"0";"0";"144";"0";"9";"0,000105841015046296";"0,00254018436111111";"9144,6637";"0,152411061666667";"9,1446637"
"91536515";"0";"0";"153";"0";"9";"0,000105945040509259";"0,00254268097222222";"9153,6515";"0,152560858333333";"9,1536515"
"91873195";"0";"0";"187";"0";"9";"0,000106334716435185";"0,00255203319444444";"9187,3195";"0,153121991666667";"9,1873195"
"91169791";"0";"0";"116";"0";"9";"0,000105520591435185";"0,00253249419444444";"9116,9791";"0,151949651666667";"9,1169791"
"90759925";"0";"0";"75";"0";"9";"0,000105046209490741";"0,00252110902777778";"9075,9925";"0,151266541666667";"9,0759925"
"92809772";"0";"0";"280";"0";"9";"0,000107418717592593";"0,00257804922222222";"9280,9772";"0,154682953333333";"9,2809772"
"90891512";"0";"0";"89";"0";"9";"0,000105198509259259";"0,00252476422222222";"9089,1512";"0,151485853333333";"9,0891512"
"90718636";"0";"0";"71";"0";"9";"0,000104998421296296";"0,00251996211111111";"9071,8636";"0,151197726666667";"9,0718636"
"91103444";"0";"0";"110";"0";"9";"0,000105443800925926";"0,00253065122222222";"9110,3444";"0,151839073333333";"9,1103444"
"90784768";"0";"0";"78";"0";"9";"0,000105074962962963";"0,00252179911111111";"9078,4768";"0,151307946666667";"9,0784768"
"90558048";"0";"0";"55";"0";"9";"0,000104812555555556";"0,00251550133333333";"9055,8048";"0,15093008";"9,0558048"
"91330538";"0";"0";"133";"0";"9";"0,000105706641203704";"0,00253695938888889";"9133,0538";"0,152217563333333";"9,1330538"
"91736293";"0";"0";"173";"0";"9";"0,000106176265046296";"0,00254823036111111";"9173,6293";"0,152893821666667";"9,1736293"
"91285072";"0";"0";"128";"0";"9";"0,000105654018518519";"0,00253569644444444";"9128,5072";"0,152141786666667";"9,1285072"
"91255791";"0";"0";"125";"0";"9";"0,000105620128472222";"0,00253488308333333";"9125,5791";"0,152092985";"9,1255791"
"91382974";"0";"0";"138";"0";"9";"0,000105767331018519";"0,00253841594444444";"9138,2974";"0,152304956666667";"9,1382974"
"90529563";"0";"0";"52";"0";"9";"0,000104779586805556";"0,00251471008333333";"9052,9563";"0,150882605";"9,0529563"
"90604618";"0";"0";"60";"0";"9";"0,000104866456018519";"0,00251679494444444";"9060,4618";"0,151007696666667";"9,0604618"
"92061382";"0";"0";"206";"0";"9";"0,000106552525462963";"0,00255726061111111";"9206,1382";"0,153435636666667";"9,2061382"
"90618196";"0";"0";"61";"0";"9";"0,000104882171296296";"0,00251717211111111";"9061,8196";"0,151030326666667";"9,0618196"
"91185845";"0";"0";"118";"0";"9";"0,000105539172453704";"0,00253294013888889";"9118,5845";"0,151976408333333";"9,1185845"
"90695003";"0";"0";"69";"0";"9";"0,000104971068287037";"0,00251930563888889";"9069,5003";"0,151158338333333";"9,0695003"
"90734687";"0";"0";"73";"0";"9";"0,000105016998842593";"0,00252040797222222";"9073,4687";"0,151224478333333";"9,0734687"
"90494108";"0";"0";"49";"0";"9";"0,000104738550925926";"0,00251372522222222";"9049,4108";"0,150823513333333";"9,0494108"
"91113580";"0";"0";"111";"0";"9";"0,000105455532407407";"0,00253093277777778";"9111,358";"0,151855966666667";"9,111358"
"91826410";"0";"0";"182";"0";"9";"0,00010628056712963";"0,00255073361111111";"9182,641";"0,153044016666667";"9,182641"
"90772592";"0";"0";"77";"0";"9";"0,00010506087037037";"0,00252146088888889";"9077,2592";"0,151287653333333";"9,0772592"
"91424577";"0";"0";"142";"0";"9";"0,000105815482638889";"0,00253957158333333";"9142,4577";"0,152374295";"9,1424577"
"90969646";"0";"0";"96";"0";"9";"0,00010528894212963";"0,00252693461111111";"9096,9646";"0,151616076666667";"9,0969646"
