#TYPE System.TimeSpan
"Ticks";"Days";"Hours";"Milliseconds";"Minutes";"Seconds";"TotalDays";"TotalHours";"TotalMilliseconds";"TotalMinutes";"TotalSeconds"
"5181178";"0";"0";"518";"0";"0";"5,9967337962963E-06";"0,000143921611111111";"518,1178";"0,00863529666666667";"0,5181178"
"5096740";"0";"0";"509";"0";"0";"5,89900462962963E-06";"0,000141576111111111";"509,674";"0,00849456666666667";"0,509674"
"5152102";"0";"0";"515";"0";"0";"5,96308101851852E-06";"0,000143113944444444";"515,2102";"0,00858683666666667";"0,5152102"
"5147732";"0";"0";"514";"0";"0";"5,95802314814815E-06";"0,000142992555555556";"514,7732";"0,00857955333333333";"0,5147732"
"5096898";"0";"0";"509";"0";"0";"5,8991875E-06";"0,0001415805";"509,6898";"0,00849483";"0,5096898"
"5140803";"0";"0";"514";"0";"0";"5,95000347222222E-06";"0,000142800083333333";"514,0803";"0,008568005";"0,5140803"
"5124407";"0";"0";"512";"0";"0";"5,93102662037037E-06";"0,000142344638888889";"512,4407";"0,00854067833333333";"0,5124407"
"5132465";"0";"0";"513";"0";"0";"5,94035300925926E-06";"0,000142568472222222";"513,2465";"0,00855410833333333";"0,5132465"
"5093415";"0";"0";"509";"0";"0";"5,89515625E-06";"0,00014148375";"509,3415";"0,008489025";"0,5093415"
"5134633";"0";"0";"513";"0";"0";"5,94286226851852E-06";"0,000142628694444444";"513,4633";"0,00855772166666667";"0,5134633"
"5120407";"0";"0";"512";"0";"0";"5,92639699074074E-06";"0,000142233527777778";"512,0407";"0,00853401166666667";"0,5120407"
"5110402";"0";"0";"511";"0";"0";"5,91481712962963E-06";"0,000141955611111111";"511,0402";"0,00851733666666667";"0,5110402"
"5113836";"0";"0";"511";"0";"0";"5,91879166666667E-06";"0,000142051";"511,3836";"0,00852306";"0,5113836"
"5102437";"0";"0";"510";"0";"0";"5,90559837962963E-06";"0,000141734361111111";"510,2437";"0,00850406166666667";"0,5102437"
"5109410";"0";"0";"510";"0";"0";"5,91366898148148E-06";"0,000141928055555556";"510,941";"0,00851568333333333";"0,510941"
"5118793";"0";"0";"511";"0";"0";"5,92452893518519E-06";"0,000142188694444444";"511,8793";"0,00853132166666667";"0,5118793"
"5120211";"0";"0";"512";"0";"0";"5,92617013888889E-06";"0,000142228083333333";"512,0211";"0,008533685";"0,5120211"
