#TYPE System.TimeSpan
"Ticks";"Days";"Hours";"Milliseconds";"Minutes";"Seconds";"TotalDays";"TotalHours";"TotalMilliseconds";"TotalMinutes";"TotalSeconds"
"12335944";"0";"0";"233";"0";"1";"1,4277712962963E-05";"0,000342665111111111";"1233,5944";"0,0205599066666667";"1,2335944"
"8677597";"0";"0";"867";"0";"0";"1,00435150462963E-05";"0,000241044361111111";"867,7597";"0,0144626616666667";"0,8677597"
"8479663";"0";"0";"847";"0";"0";"9,81442476851852E-06";"0,000235546194444444";"847,9663";"0,0141327716666667";"0,8479663"
"8464632";"0";"0";"846";"0";"0";"9,79702777777778E-06";"0,000235128666666667";"846,4632";"0,01410772";"0,8464632"
"8399759";"0";"0";"839";"0";"0";"9,72194328703704E-06";"0,000233326638888889";"839,9759";"0,0139995983333333";"0,8399759"
"8508779";"0";"0";"850";"0";"0";"9,84812384259259E-06";"0,000236354972222222";"850,8779";"0,0141812983333333";"0,8508779"
"8683469";"0";"0";"868";"0";"0";"1,00503113425926E-05";"0,000241207472222222";"868,3469";"0,0144724483333333";"0,8683469"
"8646465";"0";"0";"864";"0";"0";"1,00074826388889E-05";"0,000240179583333333";"864,6465";"0,014410775";"0,8646465"
"8598626";"0";"0";"859";"0";"0";"9,95211342592593E-06";"0,000238850722222222";"859,8626";"0,0143310433333333";"0,8598626"
"8548834";"0";"0";"854";"0";"0";"9,8944837962963E-06";"0,000237467611111111";"854,8834";"0,0142480566666667";"0,8548834"
"8449343";"0";"0";"844";"0";"0";"9,77933217592592E-06";"0,000234703972222222";"844,9343";"0,0140822383333333";"0,8449343"
"8668904";"0";"0";"866";"0";"0";"1,00334537037037E-05";"0,000240802888888889";"866,8904";"0,0144481733333333";"0,8668904"
"8444749";"0";"0";"844";"0";"0";"9,7740150462963E-06";"0,000234576361111111";"844,4749";"0,0140745816666667";"0,8444749"
"8482748";"0";"0";"848";"0";"0";"9,81799537037037E-06";"0,000235631888888889";"848,2748";"0,0141379133333333";"0,8482748"
"8461920";"0";"0";"846";"0";"0";"9,79388888888889E-06";"0,000235053333333333";"846,192";"0,0141032";"0,846192"
"8488038";"0";"0";"848";"0";"0";"9,82411805555555E-06";"0,000235778833333333";"848,8038";"0,01414673";"0,8488038"
"8553387";"0";"0";"855";"0";"0";"9,89975347222222E-06";"0,000237594083333333";"855,3387";"0,014255645";"0,8553387"
"8558027";"0";"0";"855";"0";"0";"9,90512384259259E-06";"0,000237722972222222";"855,8027";"0,0142633783333333";"0,8558027"
"8368388";"0";"0";"836";"0";"0";"9,68563425925926E-06";"0,000232455222222222";"836,8388";"0,0139473133333333";"0,8368388"
"8638242";"0";"0";"863";"0";"0";"9,99796527777778E-06";"0,000239951166666667";"863,8242";"0,01439707";"0,8638242"
"8583866";"0";"0";"858";"0";"0";"9,93503009259259E-06";"0,000238440722222222";"858,3866";"0,0143064433333333";"0,8583866"
"8630968";"0";"0";"863";"0";"0";"9,9895462962963E-06";"0,000239749111111111";"863,0968";"0,0143849466666667";"0,8630968"
"8448696";"0";"0";"844";"0";"0";"9,77858333333333E-06";"0,000234686";"844,8696";"0,01408116";"0,8448696"
"8551658";"0";"0";"855";"0";"0";"9,89775231481482E-06";"0,000237546055555556";"855,1658";"0,0142527633333333";"0,8551658"
"8624545";"0";"0";"862";"0";"0";"9,98211226851852E-06";"0,000239570694444444";"862,4545";"0,0143742416666667";"0,8624545"
"8663745";"0";"0";"866";"0";"0";"1,00274826388889E-05";"0,000240659583333333";"866,3745";"0,014439575";"0,8663745"
"8591265";"0";"0";"859";"0";"0";"9,94359375E-06";"0,00023864625";"859,1265";"0,014318775";"0,8591265"
"8713266";"0";"0";"871";"0";"0";"1,00847986111111E-05";"0,000242035166666667";"871,3266";"0,01452211";"0,8713266"
"8574455";"0";"0";"857";"0";"0";"9,92413773148148E-06";"0,000238179305555556";"857,4455";"0,0142907583333333";"0,8574455"
"8500186";"0";"0";"850";"0";"0";"9,83817824074074E-06";"0,000236116277777778";"850,0186";"0,0141669766666667";"0,8500186"
"8623730";"0";"0";"862";"0";"0";"9,98116898148148E-06";"0,000239548055555556";"862,373";"0,0143728833333333";"0,862373"
"8544271";"0";"0";"854";"0";"0";"9,8892025462963E-06";"0,000237340861111111";"854,4271";"0,0142404516666667";"0,8544271"
"8331055";"0";"0";"833";"0";"0";"9,64242476851852E-06";"0,000231418194444444";"833,1055";"0,0138850916666667";"0,8331055"
"8644549";"0";"0";"864";"0";"0";"1,00052650462963E-05";"0,000240126361111111";"864,4549";"0,0144075816666667";"0,8644549"
"8457725";"0";"0";"845";"0";"0";"9,78903356481481E-06";"0,000234936805555556";"845,7725";"0,0140962083333333";"0,8457725"
"8692136";"0";"0";"869";"0";"0";"1,00603425925926E-05";"0,000241448222222222";"869,2136";"0,0144868933333333";"0,8692136"
"8596561";"0";"0";"859";"0";"0";"9,94972337962963E-06";"0,000238793361111111";"859,6561";"0,0143276016666667";"0,8596561"
"8636954";"0";"0";"863";"0";"0";"9,99647453703704E-06";"0,000239915388888889";"863,6954";"0,0143949233333333";"0,8636954"
"8439823";"0";"0";"843";"0";"0";"9,76831365740741E-06";"0,000234439527777778";"843,9823";"0,0140663716666667";"0,8439823"
"8453741";"0";"0";"845";"0";"0";"9,7844224537037E-06";"0,000234826138888889";"845,3741";"0,0140895683333333";"0,8453741"
"8587399";"0";"0";"858";"0";"0";"9,93911921296296E-06";"0,000238538861111111";"858,7399";"0,0143123316666667";"0,8587399"
"8531007";"0";"0";"853";"0";"0";"9,87385069444444E-06";"0,000236972416666667";"853,1007";"0,014218345";"0,8531007"
"8633114";"0";"0";"863";"0";"0";"9,99203009259259E-06";"0,000239808722222222";"863,3114";"0,0143885233333333";"0,8633114"
"8484704";"0";"0";"848";"0";"0";"9,82025925925926E-06";"0,000235686222222222";"848,4704";"0,0141411733333333";"0,8484704"
"8557645";"0";"0";"855";"0";"0";"9,90468171296296E-06";"0,000237712361111111";"855,7645";"0,0142627416666667";"0,8557645"
"8691085";"0";"0";"869";"0";"0";"1,00591261574074E-05";"0,000241419027777778";"869,1085";"0,0144851416666667";"0,8691085"
"8433534";"0";"0";"843";"0";"0";"9,76103472222222E-06";"0,000234264833333333";"843,3534";"0,01405589";"0,8433534"
"8513827";"0";"0";"851";"0";"0";"9,85396643518519E-06";"0,000236495194444444";"851,3827";"0,0141897116666667";"0,8513827"
"8417070";"0";"0";"841";"0";"0";"9,74197916666667E-06";"0,0002338075";"841,707";"0,01402845";"0,841707"
"8487401";"0";"0";"848";"0";"0";"9,82338078703704E-06";"0,000235761138888889";"848,7401";"0,0141456683333333";"0,8487401"
